Fiscal Year,Agency Code,Agency Name,Unit Code,Unit Name,Program Code,Program Name,Subprogram Code,Subprogram Name,Object Code,Object Name,Comptroller Subobject Code,Comptroller Subobject Name,Agency Subobject Code,Agency Subobject Name,Fund Type Name,Budget,Organization Code,Category,Category Title
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",8,Auxiliary Enterprises,0,Program Generated Automatically,9,Supplies and Materials,920,Food,920,FOOD,Current Unrestricted Funds,"13,283,255",R30_B22_08,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,2,Technical and Special Fees,216,Royalty Payments,216,Royalty Payments,Current Unrestricted Funds,"14,462",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,11,Equipment - Additional,1115,Office Equipment,1115,OFFICE EQUIPMENT,Current Unrestricted Funds,"96,548",R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,8,Contractual Services,804,Printing/Reproduction,804,PRINTING/REPRODUCTION,Current Restricted Funds,"6,096",R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",120,Student Payments,120,Student Payments,Current Restricted Funds,"38,374",R30_B22_06,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,3,Communications,302,Telephone,302,Telephone,Current Unrestricted Funds,"314,257",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",7,Operation and Maintenance of Plant,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",104,Overtime Earnings,104,OVERTIME EARNINGS,Current Unrestricted Funds,"1,632,012",R30_B22_07,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,6,Fuel and Utilities,608,Fuel - Steam,608,Fuel - Steam,Current Unrestricted Funds,"10,567",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Program Generated Automatically,9,Supplies and Materials,999,Other Supplies and Materials,999,OTHER SUPPLIES AND MATERIALS,Current Unrestricted Funds,"984,407",R30_B22_05,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,11,Equipment - Additional,1115,Office Equipment,1115,OFFICE EQUIPMENT,Current Unrestricted Funds,"19,978",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",7,Operation and Maintenance of Plant,0,Program Generated Automatically,9,Supplies and Materials,904,Building and Household,904,BUILDING AND HOUSEHOLD,Current Unrestricted Funds,"136,187",R30_B22_07,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",3,Public Service,0,Program Generated Automatically,8,Contractual Services,892,Data Processing - Academic/Research,892,Data Processing - Academic/Research,Current Restricted Funds,"1,648,749",R30_B22_03,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",4,Academic Support,0,Program Generated Automatically,2,Technical and Special Fees,201,Honorariums,201,HONORARIUMS,Current Restricted Funds,"29,545",R30_B22_04,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",2,Research,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",102,Additional Assistance,102,ADDITIONAL ASSISTANCE,Current Restricted Funds,"24,942,153",R30_B22_02,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",8,Auxiliary Enterprises,0,Program Generated Automatically,1,"Salaries, Wages and Fringe Benefits",120,Student Payments,120,Student Payments,Current Unrestricted Funds,"7,994,757",R30_B22_08,3,Higher Education
2017,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",7,Operation and Maintenance of Plant,0,Program Generated Automatically,3,Communications,302,Telephone,302,Telephone,Current Unrestricted Funds,"45,843",R30_B22_07,3,Higher Education
