Year,"Program Name","Fund Type","Current Budget","Difference Between Budgets by FY"
2017,"Academic Support","Current Restricted Funds",$115568.00,NULL
2018,"Academic Support","Current Restricted Funds",$61161.00,$-54407.00
2019,"Academic Support","Current Restricted Funds",$20738.00,$-40423.00
2021,"Academic Support","Current Restricted Funds",$7383.00,$-13355.00
2022,"Academic Support","Current Restricted Funds",$7762.00,$379.00
2023,"Academic Support","Current Restricted Funds",$42369.00,$34607.00
2024,"Academic Support","Current Restricted Funds",$54107.00,$11738.00
2025,"Academic Support","Current Restricted Funds",$25688.00,$-28419.00
2017,"Auxiliary Enterprises","Current Restricted Funds",$4505.00,NULL
2018,"Auxiliary Enterprises","Current Restricted Funds",$-1.00,$-4506.00
2017,"Institutional Support","Current Restricted Funds",$38374.00,NULL
2018,"Institutional Support","Current Restricted Funds",$-1.00,$-38375.00
2021,"Institutional Support","Current Restricted Funds",$531.00,$532.00
2017,Instruction,"Current Restricted Funds",$741722.00,NULL
2018,Instruction,"Current Restricted Funds",$411880.00,$-329842.00
2019,Instruction,"Current Restricted Funds",$340552.00,$-71328.00
2020,Instruction,"Current Restricted Funds",$335946.00,$-4606.00
2021,Instruction,"Current Restricted Funds",$776005.00,$440059.00
2022,Instruction,"Current Restricted Funds",$416536.00,$-359469.00
2023,Instruction,"Current Restricted Funds",$1322300.00,$905766.00
2024,Instruction,"Current Restricted Funds",$695256.00,$-627046.00
2025,Instruction,"Current Restricted Funds",$2173960.00,$1478699.00
2017,"Operation and Maintenance of Plant","Current Restricted Funds",$5974.00,NULL
2017,"Public Service","Current Restricted Funds",$505108.00,NULL
2018,"Public Service","Current Restricted Funds",$441736.00,$-63372.00
2019,"Public Service","Current Restricted Funds",$413217.00,$-28519.00
2020,"Public Service","Current Restricted Funds",$367417.00,$-45800.00
2021,"Public Service","Current Restricted Funds",$472747.00,$105330.00
2022,"Public Service","Current Restricted Funds",$422250.00,$-50497.00
2023,"Public Service","Current Restricted Funds",$2676080.00,$2253825.00
2024,"Public Service","Current Restricted Funds",$373152.00,$-2302923.00
2025,"Public Service","Current Restricted Funds",$636057.00,$262905.00
2017,Research,"Current Restricted Funds",$4165340.00,NULL
2018,Research,"Current Restricted Funds",$3968530.00,$-196812.00
2019,Research,"Current Restricted Funds",$3874630.00,$-93902.00
2020,Research,"Current Restricted Funds",$3128500.00,$-746131.00
2021,Research,"Current Restricted Funds",$2608410.00,$-520091.00
2022,Research,"Current Restricted Funds",$4018080.00,$1409666.00
2023,Research,"Current Restricted Funds",$7666740.00,$3648663.00
2024,Research,"Current Restricted Funds",$6013180.00,$-1653557.00
2025,Research,"Current Restricted Funds",$6144700.00,$131516.00
2017,"Student Services","Current Restricted Funds",$254913.00,NULL
2018,"Student Services","Current Restricted Funds",$-184.00,$-255097.00
